fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220423 234818	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	27	TRUE	0.288086227736513	0.915785716162708	7993	16	0.0213233614328135	12472000	93
20220424 000356	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	208	TRUE	0.0103604945946781	0.200023019060594	197	1024	0.0160219073708971	11951000	94
20220424 000812	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	733	TRUE	0.0105785730714348	0.516562466870714	3413	214	0.0179369197939407	13553000	95
20220424 000944	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	436	TRUE	0.0154988473014412	0.999950894902384	6205	31	0.0221365102100701	12600000	96
20220424 001208	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	640	TRUE	0.0104960077661631	0.228063683655956	7901	238	0.0151812912300084	13384000	97
20220424 001502	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	831	TRUE	0.0105341985026721	0.277465281855514	7999	512	0.0162829350854685	13455000	98
20220424 001639	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	377	TRUE	0.0100961617831388	0.917712261046266	6199	16	0.0139694489158497	13045000	99
20220424 001659	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	0.117092622570762	0.294864179448244	7987	250	0.0191112664916674	13271000	100
20220424 001713	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.295636826820435	0.511695524607017	7997	235	0.0270183499216841	11619000	101
20220424 001926	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	86	TRUE	0.0100091148665635	0.808979032522928	529	67	0.0117812784221653	13267000	102
